FORMAT = Name, Type, Ra, Dec, I, Q, U, V, ReferenceFrequency='60e6', SpectralIndex='[0.0]', MajorAxis, MinorAxis, Orientation

# the next lines define the sources
1911.8-0014, POINT, 19:11:50.89920000, -00.14.23.78400000, 3.27, , , , , [-0.7]
1932.1-0233, POINT, 19:32:11.83920000, -02.33.12.70800000, 1.7, , , , , [-0.7]
1932.2-0430, POINT, 19:32:13.43040000, -04.30.42.08400000, 1.3266, , , , , [-0.5989]
1932.4-0044, POINT, 19:32:26.66880000, -00.44.55.28400000, 1.33, , , , , [-0.7]
1933.3+0412, POINT, 19:33:18.96960000, +04.12.53.49600000, 1.7248, , , , , [-0.5405]
1933.5-0032, POINT, 19:33:35.04000000, -00.32.37.28400000, 1.419, , , , , [-0.8795]
1934.6-0038, POINT, 19:34:36.70080000, -00.38.45.81600000, 1.31, , , , , [-0.7]
1934.9-0419, POINT, 19:34:58.01040000, -04.19.59.08800000, 1.4524, , , , , [-0.9102]
1935.1-0025, POINT, 19:35:11.03040000, -00.25.14.30400000, 1.33, , , , , [-0.7]
1935.4+0431, POINT, 19:35:29.27040000, +04.31.26.29200000, 1.2903, , , , , [-0.761]
1935.5-0330, POINT, 19:35:35.64000000, -03.30.14.79600000, 1.7605, , , , , [-0.7005]
1935.7-0407, POINT, 19:35:47.98080000, -04.07.36.08400000, 2.3724, , , , , [-0.5589]
1936.0+0023, POINT, 19:36:01.87920000, +00.23.03.30000000, 1.47, , , , , [-0.7]
1936.0-0132, POINT, 19:36:03.30960000, -01.32.05.10000000, 1.46, , , , , [-0.7]
1936.8-0022, POINT, 19:36:53.76960000, -00.22.07.10400000, 14.19, , , , , [-0.7]
1937.1-0155, POINT, 19:37:08.10960000, -01.55.50.30400000, 2.35, , , , , [-0.7]
1938.0+0330, POINT, 19:38:03.35040000, +03.30.02.08800000, 3.0812, , , , , [-0.7189]
1938.5+0448, POINT, 19:38:31.14000000, +04.48.17.89200000, 1.9, , , , , [-0.3649]
1940.0-0028, POINT, 19:40:02.52960000, -00.28.32.48400000, 1.73, , , , , [-0.7]
1940.2-0111, POINT, 19:40:12.32880000, -01.11.22.30800000, 1.69, , , , , [-0.7]
1940.3-0327, GAUSSIAN, 19:40:18.86880000, -03.27.24.98400000, 8.08, , , , , [-0.7], 65.2, 43.9, 142.4
1941.2-0342, POINT, 19:41:14.16960000, -03.42.43.70400000, 1.47, , , , , [-0.7]
1941.4-0104, GAUSSIAN, 19:41:27.11040000, -01.04.52.78800000, 4.96, , , , , [-0.7], 82.9, 62.5, 32.4
1943.0-0126, POINT, 19:43:02.45040000, -01.26.28.78800000, 2.7605, , , , , [-0.8496]
1943.5-0132, POINT, 19:43:31.04880000, -01.32.18.70800000, 1.37, , , , , [-0.7]
1945.9+0230, POINT, 19:45:54.31920000, +02.30.28.18800000, 2.9445, , , , , [-0.8767]
1946.0+0201, GAUSSIAN, 19:46:02.82000000, +02.01.41.41200000, 4.07, , , , , [-0.7], 80.8, 83.2, 91.7
1946.1+0159, POINT, 19:46:09.37920000, +01.59.54.81600000, 2.2, , , , , [-0.7]
1946.3+0020, GAUSSIAN, 19:46:19.26960000, +00.20.32.60400000, 4.18, , , , , [-0.7], 74.2, 74.1, 169.1
1946.5-0012, POINT, 19:46:33.65040000, -00.12.36.79200000, 1.3, , , , , [-0.7]
1949.5-0111, POINT, 19:49:32.26080000, -01.11.00.88800000, 1.54, , , , , [-0.7]
